Episode: 0 Final Score: -5
3.0888 0 0 
3.1899 0 0 n
3.2959 0 0 n
3.3997 0 0 n
3.5013 0 0 n
3.6019 0 0 n
3.705 0 0 n
3.8056 0 0 n
3.9077 0 0 n
4.0095 0 0 n
4.1144 0 0 n
4.2209 0.0248 0.0248 r
4.3228 0.2138 0.2138 r
4.425 0.5913 0.5913 r
4.5262 1.1453 1.1453 r
4.6288 1.7604 1.7604 r
4.7345 2.3948 2.3948 r
4.836 3.0037 3.0037 r
4.9397 3.6263 3.6263 r
5.0473 4.2718 4.2718 r
5.1532 4.9071 4.9071 r
5.2597 5.5462 5.5462 r
5.3641 6.1725 6.1725 r
5.4695 6.8047 6.8047 r
5.5792 7.4629 7.4629 r
5.6871 8.1104 8.1104 r
5.7953 8.7597 8.7597 r
5.8978 9.3747 9.3747 r
6.0062 10.0251 10.0251 jr
6.1138 10.6706 10.6706 r
6.2144 11.2741 11.2741 r
6.3149 11.8774 11.8774 r
6.4172 12.4913 12.4913 r
6.519 13.102 13.102 r
6.627 13.7496 13.7496 r
6.7351 14.3981 14.3981 r
6.837 15.01 15.01 r
6.9477 15.6739 15.6739 jr
7.0495 16.2847 16.2847 r
7.1511 16.8942 16.8942 r
7.2518 17.4989 17.4989 r
7.3595 18.1445 18.1445 r
7.4629 18.7654 18.7654 r
7.5642 19.3728 19.3728 r
7.668 19.9961 19.9961 r
7.7739 20.6314 20.6314 r
7.8755 21.2405 21.2405 r
7.9839 21.8915 21.8915 r
8.0849 22.4974 22.4974 r
8.1938 23.1504 23.1504 r
8.3136 23.8692 23.8692 r
8.4216 24.5176 24.5176 jr
8.5246 25.1353 25.1353 r
8.6288 25.7608 25.7608 r
8.7336 26.3894 26.3894 r
8.8345 26.9947 26.9947 r
8.9356 27.6011 27.6011 r
9.0394 28.2241 28.2241 r
9.1415 28.837 28.837 r
9.2456 29.4616 29.4616 r
9.3542 30.1132 30.1132 r
9.4582 30.737 30.737 r
9.5611 31.3545 31.3545 r
9.6637 31.9699 31.9699 r
9.7673 32.5914 32.5914 r
9.8679 33.1954 33.1954 r
9.9694 33.8045 33.8045 r
10.0703 34.4097 34.4097 r
10.1778 35.0545 35.0545 jr
10.2805 35.671 35.671 r
10.3811 36.2745 36.2745 r
10.4824 36.8819 36.8819 r
10.5847 37.4958 37.4958 r
10.6865 38.1067 38.1067 r
10.788 38.716 38.716 r
10.8901 39.3282 39.3282 r
10.9917 39.9379 39.9379 r
11.0998 40.5869 40.5869 r
11.2016 41.1972 41.1972 jr
